comment	label
அருமையான முயற்சி	non_toxic
நல்ல வேலை 👍	non_toxic
சூப்பர் விளக்கம்	non_toxic
பயனுள்ள தகவல்	non_toxic
நல்ல முன்னேற்றம்	non_toxic
வெகுசிறந்த முயற்சி	non_toxic
தெளிவான விளக்கம்	non_toxic
நன்றாக செய்துள்ளீர்கள்	non_toxic
சரியான அணுகுமுறை	non_toxic
நல்ல ஒழுங்கு	non_toxic
மிக நன்றாக உள்ளது	non_toxic
உதவிகரமான பதிவு	non_toxic
அழகான தொகுப்பு	non_toxic
சரியான கருத்து	non_toxic
பாராட்டுகள் 👏	non_toxic
நல்ல சிந்தனை	non_toxic
தெளிவான விளக்கம் 👍	non_toxic
நன்றாக முயற்சி	non_toxic
சிறந்த விளக்கம்	non_toxic
உயர்ந்த தரம்	non_toxic
பயனுள்ள பதிவு	non_toxic
நல்ல எடுத்துக்காட்டு	non_toxic
மிகவும் அருமை	non_toxic
நன்றாக அமைந்துள்ளது	non_toxic
சரியான விளக்கம்	non_toxic
நல்ல ஆராய்ச்சி	non_toxic
பயனுள்ள கருத்து	non_toxic
சிறந்த அணுகுமுறை	non_toxic
நல்ல விளக்கம் 👌	non_toxic
தெளிவான செய்தி	non_toxic
மிகச் சிறந்த முயற்சி	non_toxic
பாராட்டத்தக்க வேலை	non_toxic
நல்ல திட்டமிடல்	non_toxic
சரியான விளக்கங்கள்	non_toxic
அருமையான பதிவு	non_toxic
நன்றாக உள்ளது	non_toxic
பயனுள்ள வீடியோ	non_toxic
சிறந்த கருத்து	non_toxic
மிகவும் தெளிவு	non_toxic
நல்ல வடிவமைப்பு	non_toxic
அழகாக செய்துள்ளீர்கள்	non_toxic
சரியான வழிகாட்டல்	non_toxic
பயனுள்ள விளக்கம்	non_toxic
சிறந்த வேலை 👍	non_toxic
மிக நன்றாக செய்துள்ளீர்கள்	non_toxic
நல்ல முயற்சி	non_toxic
சரியான தகவல்	non_toxic
பாராட்டுகள் 🙌	non_toxic
தெளிவான அணுகுமுறை	non_toxic
மிகச் சிறப்பு	non_toxic
முட்டாள் நீ	toxic
அறிவில்லாதவன்	toxic
வேஸ்ட் வேலை	toxic
பேசவே தெரியாது	toxic
மிக மோசம்	toxic
சரியாக செய்யவில்லை	toxic
பயனற்ற பதிவு	toxic
அபத்தமான கருத்து	toxic
போய்ப் படி	toxic
அறிவே இல்லையா	toxic
மோசமான முயற்சி	toxic
பழுதான விளக்கம்	toxic
கேவலமான பதிவு	toxic
என்னடா இது	toxic
சொல்லவே முடியாது	toxic
முட்டாள் கருத்து	toxic
அவமானம் இது	toxic
மிகக் குறைவு	toxic
பேசாதே நல்லது	toxic
பொறுப்பில்லாத பேச்சு	toxic
சரியில்லை இது	toxic
அருவருப்பான வேலை	toxic
கேவலமான செயல்	toxic
மிகத் தாழ்ந்த தரம்	toxic
படுதவறான விளக்கம்	toxic
சிந்தனை இல்லாமல்	toxic
மோசமான செயல்	toxic
பயங்கர மோசம்	toxic
அறிவில்லாத பேச்சு	toxic
வேலையே தெரியாது	toxic
கேவலமான கருத்து	toxic
நீயே பிரச்சனை	toxic
அவசர பேச்சு	toxic
முட்டாள் முடிவு	toxic
அபத்தம் முழுவதும்	toxic
மோசமான அணுகுமுறை	toxic
அறிவில்லாத செயல்	toxic
கேவலமான விளக்கம்	toxic
அர்த்தமில்லாத பேச்சு	toxic
பயனற்ற முயற்சி	toxic
உயிரோட இருக்காதே	severe_toxic
போய் மறைந்து போ	severe_toxic
உன்னை யாரும் வேண்டாம்	severe_toxic
உன் வாழ்க்கை பயனற்றது	severe_toxic
உன் இருப்பு தேவையில்லை	severe_toxic
நீ இல்லாமலே நல்லது	severe_toxic
உன்னை யாரும் நினைக்கமாட்டார்கள்	severe_toxic
உன் வாழ்க்கை வீண்	severe_toxic
உலகம் உன்னை நிராகரிக்கும்	severe_toxic
உன் வாழ்க்கை அர்த்தமில்லை	severe_toxic
உன்னை யாரும் மதிக்கமாட்டார்கள்	severe_toxic
நீ அழிந்து போ	severe_toxic
உன் இருப்பு தீங்கு	severe_toxic
உன்னை யாரும் ஏற்கமாட்டார்கள்	severe_toxic
உன் வாழ்க்கை தேவையில்லை	severe_toxic
நீ இல்லாததே நல்லது	severe_toxic
உன் வாழ்க்கை சுமை	severe_toxic
உன் இருப்பு பயனற்றது	severe_toxic
மிக அருமையான பதிவு	non_toxic
நல்ல விளக்கங்கள்	non_toxic
சிறப்பான வேலை	non_toxic
தெளிவான கருத்துகள்	non_toxic
பாராட்டத்தக்க முயற்சி	non_toxic
நன்றாக முன்னேற்றம்	non_toxic
சரியான எடுத்துக்காட்டு	non_toxic
மிகவும் பயனுள்ளது	non_toxic
அழகான விளக்கம்	non_toxic
நல்ல தரம்	non_toxic
சிறந்த தொகுப்பு	non_toxic
நன்றாக அமைப்பு	non_toxic
சரியான முயற்சி	non_toxic
மிகச் சிறந்த பதிவு	non_toxic
நல்ல விளக்கம் 👏	non_toxic
பயனுள்ள கருத்துக்கள்	non_toxic
சரியான வழி	non_toxic
நல்ல சிந்தனை 👍	non_toxic
மிகவும் தெளிவான பதிவு	non_toxic
பாராட்டுகள் நண்பா	non_toxic
சிறந்த முன்னேற்றம்	non_toxic
நன்றாக செய்த முயற்சி	non_toxic
அழகான தொகுப்பு 👍	non_toxic
மிகவும் உதவிகரம்	non_toxic
சரியான விளக்கம் 👌	non_toxic
நல்ல அணுகுமுறை	non_toxic
சிறந்த பகிர்வு	non_toxic
பயனுள்ள தகவல்கள்	non_toxic
மிகவும் நன்றாக உள்ளது	non_toxic
நல்ல ஆதாரம்	non_toxic
படுதவறான பதிவு	toxic
அறிவில்லாத பேச்சு	toxic
என்ன கொடுமை	toxic
பயனற்ற வேலை	toxic
மோசமான கருத்து	toxic
கேவலமான முயற்சி	toxic
மிகத் தாழ்ந்த முயற்சி	toxic
அபத்தமான பதிவு	toxic
பேச தெரியாதவன்	toxic
முட்டாள் வேலை	toxic
அர்த்தமில்லாத செயல்	toxic
மோசமான திட்டம்	toxic
பழுதான பதிவு	toxic
அவசர முடிவு	toxic
அறிவில்லாத செயல்கள்	toxic
கேவலமான அணுகுமுறை	toxic
பயனற்ற கருத்து	toxic
மிக மோசமான வேலை	toxic
பொறுப்பில்லாத செயல்	toxic
சரியில்லாத விளக்கம்	toxic
முட்டாள் பேச்சு	toxic
கேவலமான தரம்	toxic
மிகவும் அர்த்தமில்லை	toxic
அவமானமான பதிவு	toxic
மோசமான சிந்தனை	toxic
சரியான புரிதல் இல்லை	toxic
பயனற்ற முயற்சி	toxic
முட்டாள் திட்டம்	toxic
கேவலமான செயல்	toxic
மிகத் தாழ்ந்த பதிவு	toxic
உன் வாழ்க்கை வீணே	severe_toxic
நீ தேவையற்றவன்	severe_toxic
உன் இருப்பு அர்த்தமில்லை	severe_toxic
உன் வாழ்க்கை சுமை	severe_toxic
உன்னை யாரும் நினைவில் வைக்கமாட்டார்கள்	severe_toxic
நீ இல்லாமலே போதும்	severe_toxic
உன் வாழ்க்கை அழிவு	severe_toxic
உன் இருப்பு தீங்கு	severe_toxic
நீ அழிந்து போவது நல்லது	severe_toxic
உன் வாழ்க்கை தாழ்வு	severe_toxic
